32,0,7715.736056
32,200,7833.100853
32,250,7833.100853
32,300,7833.100853
32,350,7844.155253
32,400,8056.540866
32,450,9357.667360
32,500,10262.952173
32,550,11602.651362
32,600,12264.033760
32,650,13537.171358
32,700,13346.894566
32,750,13035.254574
32,800,13140.388974
32,850,12936.235373
32,900,12106.920197
32,950,13530.585774
32,1000,12422.793778
32,1050,12701.270586
32,1100,12325.185784
32,1150,12532.396983
32,1200,13371.120165
8,0,566.832003
8,200,562.363201
8,250,562.363201
8,300,562.363201
8,350,562.363201
8,400,562.363201
8,450,562.363201
8,500,562.363201
8,550,562.363201
8,600,562.363201
8,650,562.363201
8,700,562.363201
8,750,562.363201
8,800,562.363201
8,850,562.363201
8,900,562.363201
8,950,560.952001
8,1000,560.952001
8,1050,564.480002
8,1100,577.180802
8,1150,637.862405
8,1200,648.446405
16,0,1984.382411
16,200,2001.316810
16,250,2001.316810
16,300,2001.316810
16,350,2001.316810
16,400,2001.316810
16,450,2001.316810
16,500,2001.316810
16,550,1998.964810
16,600,1993.790412
16,650,2111.390414
16,700,2241.456029
16,750,2404.214441
16,800,2578.027232
16,850,3065.361630
16,900,3073.123241
16,950,3372.532840
16,1000,3302.678437
16,1050,3501.422448
16,1100,3850.929645
16,1150,4133.169653
16,1200,4618.387247
