32,0,2.7736
32,200,3.5584
32,250,2.8447
32,300,3.0962
32,350,3.1989
32,400,3.3232
32,450,3.6948
32,500,4.6944
32,550,5.2689
32,600,5.6517
32,650,6.2593
32,700,6.5278
32,750,7.0329
32,800,7.1381
32,850,7.8604
32,900,7.9591
32,950,8.0375
32,1000,8.3170
8,0,0.5908
8,200,0.8508
8,250,0.8508
8,300,0.8508
8,350,0.8508
8,400,0.8508
8,450,0.8508
8,500,0.8508
8,550,0.8508
8,600,0.8508
8,650,0.7294
8,700,0.7685
8,750,0.8597
8,800,0.8933
8,850,1.2515
8,900,1.3374
8,950,1.3846
8,1000,1.4848
16,0,1.2216
16,200,1.7690
16,250,1.7690
16,300,1.7694
16,350,1.7675
16,400,1.4733
16,450,1.5517
16,500,1.7497
16,550,1.9673
16,600,2.3494
16,650,2.7174
16,700,2.3906
16,750,2.6276
16,800,2.7733
16,850,3.0209
16,900,3.2417
16,950,3.0586
16,1000,3.8042
